frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
1071821550.258780000	14	14	0
1071821550.358909000	14	14	0
1071821550.459054000	14	14	0
1071821550.559116000	14	14	0
1071821550.659258000	14	14	0
1071821550.759489000	14	14	0
1071821550.859627000	22	22	0
1071821553.263015000	14	14	0
1071821553.363224000	14	14	0
1071821553.463368000	14	14	0
1071821553.563520000	14	14	0
1071821553.663578000	14	14	0
1071821553.763815000	14	14	0
1071821553.863952000	22	22	0
1071821556.267334000	14	14	0
1071821556.367545000	14	14	0
1071821556.467688000	14	14	0
1071821556.567842000	14	14	0
1071821556.646256000	28	28	0
1071821556.667976000	14	14	0
1071821556.768126000	14	14	0
1071821556.868267000	22	22	0
1071821559.271739000	14	14	0
1071821559.371868000	14	14	0
1071821559.472012000	14	14	0
1071821559.553556000	28	28	0
1071821559.572156000	14	14	0
1071821559.672302000	14	14	0
1071821559.772453000	14	14	0
1071821559.872593000	22	22	0
1071821561.590647000	36	36	0
1071821561.590671000	27	27	0
1071821561.590678000	27	27	0
1071821561.590737000	33	33	0
1071821561.698021000	31	31	0
1071821561.698052000	47	47	0
1071821561.698069000	2	2	0
1071821562.246002000	2	2	0
1071821562.260971000	2	2	0
1071821562.260986000	6	6	0
1071821562.274998000	2	2	0
1071821562.275007000	2	2	0
1071821562.280327000	2	2	0
1071821562.326118000	2	2	0
1071821562.345024000	6	6	0
1071821562.345049000	28	28	0
1071821562.354149000	2	2	0
1071821562.354158000	2	2	0
1071821562.361371000	2	2	0
1071821562.406232000	2	2	0
1071821562.425051000	21	21	0
1071821562.425088000	52	52	0
1071821562.425095000	58	58	0
1071821562.425102000	39	39	0
1071821562.425130000	6	6	0
1071821562.432391000	2	2	0
1071821562.432400000	6	6	0
1071821562.441988000	2	2	0
1071821562.441996000	2	2	0
1071821562.451244000	2	2	0
1071821562.496360000	2	2	0
1071821562.515797000	6	6	0
1071821562.515823000	37	37	0
1071821562.524998000	2	2	0
1071821562.525009000	2	2	0
1071821562.532283000	2	2	0
1071821562.576481000	2	2	0
1071821562.595149000	15	15	0
1071821562.595204000	6	6	0
1071821562.602785000	2	2	0
1071821562.602802000	7	7	0
1071821562.612541000	2	2	0
1071821562.612558000	2	2	0
1071821562.621017000	2	2	0
1071821562.666514000	2	2	0
1071821562.683027000	7	7	0
1071821562.683064000	2	2	0
1071821562.698668000	29	29	0
1071821562.698696000	47	47	0
1071821562.698703000	45	45	0
1071821562.698711000	33	33	0
1071821562.698732000	24	24	0
1071821562.714317000	2	2	0
1071821562.714326000	7	7	0
1071821562.723255000	2	2	0
1071821562.723265000	2	2	0
1071821562.734606000	5	5	0
1071821562.734616000	2	2	0
1071821562.742602000	2	2	0
1071821562.786688000	2	2	0
1071821562.805248000	2	2	0
1071821562.896937000	2	2	0
1071821562.911810000	2	2	0
1071821563.007098000	2	2	0
1071821563.022216000	2	2	0
1071821563.117255000	2	2	0
1071821563.132952000	2	2	0
1071821563.227412000	2	2	0
1071821563.243710000	2	2	0
1071821563.337568000	2	2	0
1071821563.354491000	2	2	0
1071821563.447728000	2	2	0
1071821563.465268000	2	2	0
1071821563.557890000	2	2	0
1071821563.575970000	2	2	0
1071821563.668046000	2	2	0
1071821563.683273000	2	2	0
1071821563.778217000	2	2	0
1071821563.793192000	2	2	0
1071821563.888364000	2	2	0
1071821563.903580000	2	2	0
1071821563.998522000	2	2	0
1071821564.014348000	2	2	0
1071821564.108681000	2	2	0
1071821564.125120000	2	2	0
1071821564.218838000	2	2	0
1071821564.235888000	2	2	0
1071821564.328999000	2	2	0
1071821564.346659000	2	2	0
1071821564.439158000	2	2	0
1071821564.457429000	2	2	0
1071821564.549318000	2	2	0
1071821564.564004000	2	2	0
1071821564.659476000	2	2	0
1071821564.674738000	2	2	0
1071821564.769627000	2	2	0
1071821564.785133000	2	2	0
1071821564.879794000	2	2	0
1071821564.895904000	2	2	0
1071821564.989948000	2	2	0
1071821565.006674000	2	2	0
1071821565.100104000	2	2	0
1071821565.117443000	2	2	0
1071821565.181226000	7	7	0
1071821565.196792000	2	2	0
1071821565.196805000	2	2	0
1071821565.205716000	2	2	0
1071821565.250318000	2	2	0
1071821565.265699000	2	2	0
1071821565.360480000	2	2	0
1071821565.375924000	2	2	0
1071821565.470636000	2	2	0
1071821565.488553000	7	7	0
1071821565.488579000	2	2	0
1071821565.496127000	2	2	0
1071821565.540750000	2	2	0
1071821565.556065000	2	2	0
1071821565.650902000	2	2	0
1071821565.666758000	2	2	0
1071821565.707259000	7	7	0
1071821565.718238000	2	2	0
1071821565.718248000	2	2	0
