frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
1096984865.275344000	60	60	
1096984865.373938000	60	60	
1096984865.385961000	60	60	
1096984865.487135000	60	60	
1096984865.492088000	60	60	
1096984865.583253000	60	60	
1096984865.605777000	60	60	
1096984865.683900000	60	60	
1096984865.730448000	60	60	
1096984865.762010000	60	60	
1096984865.780038000	60	60	
1096984865.786028000	60	60	
1096984865.816077000	60	60	
1096984865.862652000	60	60	
1096984865.938281000	60	60	
1096984865.965794000	60	60	
1096984865.968278000	60	60	
1096984866.046944000	60	60	
1096984866.067449000	60	60	
1096984866.076977000	60	60	
1096984866.081955000	60	60	
1096984866.132053000	60	60	
1096984866.159592000	60	60	
1096984866.172100000	60	60	
1096984866.206670000	60	60	
1096984866.207638000	60	60	
1096984866.338893000	60	60	
1096984866.340837000	60	60	
1096984866.379456000	60	60	
1096984866.380896000	60	60	
1096984866.406451000	60	60	
1096984866.408935000	60	60	
1096984866.409023000	60	60	
1096984866.427483000	60	60	
1096984866.457525000	60	60	
1096984866.459517000	60	60	
1096984866.482111000	60	60	
1096984866.499584000	60	60	
1096984866.529619000	60	60	
1096984866.539141000	60	60	
1096984866.567680000	60	60	
1096984866.576711000	60	60	
1096984866.581687000	60	60	
1096984866.614770000	60	60	
1096984866.650302000	60	60	
1096984866.704431000	60	60	
1096984866.812065000	60	60	
1096984866.842607000	60	60	
1096984866.866641000	60	60	
1096984867.018382000	60	60	
1096984867.049899000	60	60	
1096984867.106999000	60	60	
1096984867.108965000	60	60	
1096984867.118496000	60	60	
1096984867.129015000	60	60	
1096984867.144047000	60	60	
1096984867.280285000	60	60	
1096984867.283230000	60	60	
1096984867.283753000	60	60	
1096984867.303285000	60	60	
1096984867.306272000	60	60	
1096984867.317308000	60	60	
1096984867.355358000	60	60	
1096984867.365368000	60	60	
1096984867.389439000	60	60	
1096984867.389883000	60	60	
1096984867.416944000	60	60	
1096984867.427460000	60	60	
1096984867.485565000	60	60	
1096984867.487535000	60	60	
1096984867.551135000	60	60	
1096984867.590707000	60	60	
1096984867.683862000	60	60	
1096984867.757945000	60	60	
1096984867.760424000	60	60	
1096984867.778485000	60	60	
1096984867.782959000	60	60	
1096984867.784479000	60	60	
1096984867.828557000	60	60	
1096984867.882146000	60	60	
1096984867.929700000	60	60	
1096984867.959743000	60	60	
1096984868.036383000	60	60	
1096984868.037837000	60	60	
1096984868.038833000	60	60	
1096984868.051375000	60	60	
1096984868.067403000	60	60	
1096984868.084473000	60	60	
