frame.time_epoch	frame.len	frame.cap_len	frame.interface_id
1619344659.946616567	86	86	0
1619344659.946627268	86	86	0
1619344660.201775602	86	86	0
1619344660.201789656	86	86	0
1619344660.457792272	86	86	0
1619344660.457805392	86	86	0
1619344660.713787709	86	86	0
1619344660.713801915	86	86	0
1619344660.969800955	86	86	0
1619344660.969815369	86	86	0
1619344661.225852357	86	86	0
1619344661.225866596	86	86	0
1619344661.481761224	86	86	0
1619344661.481777881	86	86	0
1619344661.737774229	86	86	0
1619344661.737793607	86	86	0
1619344661.993783266	86	86	0
1619344661.993796704	86	86	0
1619344662.249768588	86	86	0
1619344662.249782743	86	86	0
1619344662.505769955	86	86	0
1619344662.505783838	86	86	0
1619344662.761776610	86	86	0
1619344662.761789878	86	86	0
1619344663.018799249	86	86	0
1619344663.018813170	86	86	0
1619344663.273766872	86	86	0
1619344663.273779883	86	86	0
1619344663.529765382	86	86	0
1619344663.529779591	86	86	0
1619344663.785764518	86	86	0
1619344663.785783253	86	86	0
1619344664.041776617	86	86	0
1619344664.041794388	86	86	0
1619344664.414081907	74	74	1
1619344664.297750806	86	86	0
1619344664.297763842	86	86	0
1619344664.553782795	86	86	0
1619344664.553796688	86	86	0
1619344664.587799142	74	74	1
1619344664.587838183	66	66	1
1619344664.598197519	583	583	1
1619344664.774090407	66	66	1
1619344664.779964675	1414	1414	1
1619344664.779984089	66	66	1
1619344664.780010242	1414	1414	1
1619344664.780034242	66	66	1
1619344664.780042793	1414	1414	1
1619344664.780049723	66	66	1
1619344664.780052759	1414	1414	1
1619344664.780056929	66	66	1
1619344664.780062282	305	305	1
1619344664.780067481	66	66	1
1619344664.781372691	192	192	1
1619344664.957575320	117	117	1
1619344664.957599125	66	66	1
1619344664.957866881	209	209	1
1619344664.809743970	86	86	0
1619344664.809755149	86	86	0
1619344665.065818061	86	86	0
1619344665.065833396	86	86	0
1619344665.132723275	1414	1414	1
1619344665.132769477	66	66	1
1619344665.133464171	1414	1414	1
1619344665.133477155	66	66	1
1619344665.133502965	1414	1414	1
1619344665.133509690	66	66	1
1619344665.133515968	1414	1414	1
1619344665.133521813	66	66	1
1619344665.133528972	1414	1414	1
1619344665.133534489	66	66	1
1619344665.133667627	1414	1414	1
1619344665.133675587	66	66	1
1619344665.133687946	1414	1414	1
1619344665.133699682	66	66	1
1619344665.133706654	1414	1414	1
1619344665.133712494	66	66	1
1619344665.133717605	1414	1414	1
1619344665.133722103	1414	1414	1
1619344665.133767643	66	66	1
1619344665.305360872	1414	1414	1
1619344665.305737679	1414	1414	1
1619344665.305752677	66	66	1
1619344665.305775609	1414	1414	1
1619344665.305799391	1414	1414	1
1619344665.305935047	66	66	1
1619344665.306388400	1414	1414	1
1619344665.306397864	1414	1414	1
1619344665.306404028	66	66	1
1619344665.306411743	1414	1414	1
1619344665.306428628	1414	1414	1
1619344665.306455492	66	66	1
1619344665.306465866	1414	1414	1
1619344665.306469711	1414	1414	1
1619344665.306477503	1414	1414	1
1619344665.306480116	1414	1414	1
1619344665.306514159	66	66	1
1619344665.479856600	1414	1414	1
1619344665.480271902	1414	1414	1
1619344665.480289148	66	66	1
1619344665.480374035	1414	1414	1
1619344665.480384512	66	66	1
1619344665.480433900	1414	1414	1
1619344665.480440254	66	66	1
1619344665.480449708	1414	1414	1
1619344665.480454145	66	66	1
1619344665.480456796	1414	1414	1
1619344665.480461555	66	66	1
1619344665.480463932	1414	1414	1
1619344665.480468398	66	66	1
1619344665.480471031	1414	1414	1
1619344665.480475276	66	66	1
1619344665.480479911	1414	1414	1
1619344665.480483817	66	66	1
1619344665.480486131	1414	1414	1
1619344665.480490350	66	66	1
1619344665.480492571	1414	1414	1
1619344665.480496035	66	66	1
1619344665.480498752	1414	1414	1
1619344665.480503853	66	66	1
1619344665.480511647	1414	1414	1
1619344665.480519572	66	66	1
1619344665.480525377	1414	1414	1
1619344665.480530507	66	66	1
1619344665.321740825	86	86	0
1619344665.321752580	86	86	0
1619344665.577754064	86	86	0
1619344665.577767749	86	86	0
1619344665.654972900	1414	1414	1
1619344665.655003553	66	66	1
1619344665.655182974	1414	1414	1
1619344665.655201973	66	66	1
1619344665.655209437	1414	1414	1
1619344665.655214752	66	66	1
1619344665.655217333	1414	1414	1
1619344665.655222195	66	66	1
1619344665.655224709	1414	1414	1
1619344665.655229408	66	66	1
1619344665.655564402	1414	1414	1
1619344665.655572282	66	66	1
1619344665.655581732	1414	1414	1
1619344665.655592170	66	66	1
1619344665.655597815	1414	1414	1
1619344665.655606921	66	66	1
1619344665.655614638	1414	1414	1
1619344665.655618965	66	66	1
1619344665.655621407	1414	1414	1
1619344665.655624970	66	66	1
1619344665.655653349	1414	1414	1
1619344665.655658600	66	66	1
1619344665.655661527	1414	1414	1
1619344665.655666225	66	66	1
1619344665.655668238	1414	1414	1
1619344665.655672126	66	66	1
1619344665.655710813	1414	1414	1
1619344665.655716880	66	66	1
1619344665.655784967	1414	1414	1
1619344665.655791172	66	66	1
1619344665.655830467	1414	1414	1
1619344665.655835523	66	66	1
1619344665.829295348	1414	1414	1
1619344665.829326605	66	66	1
1619344665.829435530	1414	1414	1
1619344665.829445625	66	66	1
1619344665.829489649	1414	1414	1
1619344665.829496267	66	66	1
1619344665.829501967	1414	1414	1
1619344665.829506561	66	66	1
1619344665.829529288	1414	1414	1
1619344665.829535082	66	66	1
1619344665.829537299	1414	1414	1
1619344665.829541252	66	66	1
1619344665.829543374	1414	1414	1
1619344665.829547440	66	66	1
1619344665.829622405	1414	1414	1
1619344665.829629040	66	66	1
1619344665.829638419	1414	1414	1
1619344665.829643706	66	66	1
1619344665.829700199	1414	1414	1
1619344665.829705845	66	66	1
1619344665.829748934	1414	1414	1
1619344665.829754302	66	66	1
1619344665.829756975	1414	1414	1
1619344665.829760483	66	66	1
1619344665.829788770	1414	1414	1
1619344665.829797164	66	66	1
1619344665.829899824	1414	1414	1
1619344665.829906049	66	66	1
1619344665.829946396	1414	1414	1
1619344665.829951489	66	66	1
1619344665.829954264	1414	1414	1
1619344665.829971678	66	66	1
1619344666.001256250	1414	1414	1
1619344666.001280117	66	66	1
1619344666.001413527	1414	1414	1
1619344666.001449282	66	66	1
1619344666.001456291	1414	1414	1
1619344666.001461645	66	66	1
1619344666.001644443	1414	1414	1
1619344666.001652202	66	66	1
1619344666.001677008	1414	1414	1
1619344666.001683087	66	66	1
1619344666.001692958	1414	1414	1
1619344666.001709381	66	66	1
1619344666.001714865	1414	1414	1
1619344666.001719580	66	66	1
1619344666.001756599	1414	1414	1
1619344666.001762720	66	66	1
1619344666.002113684	1414	1414	1
1619344666.002120739	66	66	1
1619344666.002127018	1414	1414	1
1619344666.002138619	66	66	1
1619344666.002143619	1414	1414	1
1619344666.002147422	66	66	1
1619344666.002149506	1414	1414	1
1619344666.002154750	66	66	1
1619344666.002156516	1414	1414	1
1619344666.002160230	66	66	1
1619344666.002162513	1414	1414	1
1619344666.002167186	66	66	1
1619344666.002169023	1414	1414	1
1619344666.002173040	66	66	1
1619344666.002177678	1414	1414	1
1619344666.002182102	66	66	1
1619344666.002184115	1414	1414	1
1619344666.002188379	66	66	1
1619344666.002222731	1414	1414	1
1619344666.002228416	66	66	1
1619344665.833745134	86	86	0
1619344665.833756210	86	86	0
1619344666.089760799	86	86	0
1619344666.089773938	86	86	0
1619344666.173227853	1414	1414	1
1619344666.173254014	66	66	1
1619344666.173422652	1414	1414	1
1619344666.173433245	66	66	1
1619344666.173463964	1414	1414	1
1619344666.173471944	66	66	1
1619344666.173496728	1414	1414	1
1619344666.173502307	66	66	1
1619344666.173529966	1414	1414	1
1619344666.173535844	66	66	1
1619344666.173553696	1414	1414	1
